sentence_id,doc_id,actor,actor_type,context,date,post_chatgpt,sentence_text
e749aecc-59fb-455e-9f19-3d43e438c290,13e4947e-1345-40e4-b3bc-51825f686f79,Mark Zuckerberg,individual,public,2026-04-29,1,But you can't know for certain from the outset.
ea226b0a-637d-48e8-836d-1383f0737697,e7b873bd-05b5-4a4f-a4c2-09293e026706,Jensen Huang,individual,public,2026-04-29,1,They’re scaling CoWoS and future packaging technologies at the same level as they scale logic.
c2794529-1478-4556-8eb2-63b86a3d664e,098d2cd2-a8a0-44d4-ad54-dc84ce7d3f9f,White House OSTP,policymaker,policy,2024-09-20,1,"The President’s action makes Federal funding available to affected individuals in the counties of Cook, Fulton, Henry, St. Clair, Washington, Will, and Winnebago."
4c8cf0c4-c452-4997-a224-b7a14ea916b2,d671637e-4fef-48f8-b669-bd0ec9cbc48b,OpenAI,company,commercial,2025-05-24,1,innerHeight ); 22 document .
ffb1e2de-5066-4688-9994-023fe379032d,d84daf6e-103e-45e7-b741-785c58895068,Satya Nadella,individual,public,unknown,0,Then they deployed agents to match receipts and double-check approvals.
bd4e0d2a-906f-4c0d-b71a-5e9b7740af25,1dca29fc-b7a8-447f-91ea-74031705ae79,Dario Amodei,individual,public,2024-11-11,1,"One, you find a small fraction of people within a company, within a government, who really see the big picture, who see the whole scaling hypothesis, who understand where AI is going, or at least understand where it’s going within their industry."
db466703-aa27-4fa2-b88c-019ae3949c54,1eaa678b-d537-41d7-803b-61ec4f95f8b2,UK DSIT,policymaker,policy,2025-07-15,1,"The Plan aims to position the UK as the leading life sciences economy in Europe by 2030, and the third globally by 2035, behind only the United States and China."
c9d63b09-33ea-4046-8617-35ad2fd851f8,50e9dfb8-336a-407b-bd66-adf14ee6ad1c,UK DSIT,policymaker,policy,2025-02-14,1,‍ Figure 4.
b58f9f0f-8457-4cde-94d2-3b4789d6614f,44d349eb-6a8f-4afb-b9a2-161c8ba25edb,Dario Amodei,individual,commercial,2026-02-25,1,"Enthusiastically, it agreed."
37543c32-45c7-4edb-a795-7e2bbda829f5,c023d3ff-9e37-4973-a559-17528331fc5b,UK DSIT,policymaker,policy,2023-06-06,1,Provides the company with a robust and mature AI technology stack to develop commercial products and services that counter mis/disinformation at scale meeting user satisfaction and trust.
be96b369-1000-40b8-a0ee-6f25866dae30,1dca29fc-b7a8-447f-91ea-74031705ae79,Dario Amodei,individual,public,2024-11-11,1,"And okay, so I think it’s really disrespectful to completely mock them."
7e3a3bee-950f-424c-b18a-02d6323971d9,b052eb29-d645-427e-a926-3da791a110e9,Microsoft,company,commercial,2026-04-30,1,"To move beyond the limitations of reproducing known samples from literature and training data, we further introduce symbolic-driven latent evolution, which applies programmable operators over disentangled latent factors to compose, modify, and refine structures at inference time."
5c899fb7-79d1-4382-8d68-f22a557bfa09,da9ca697-3d02-4325-afb4-9f842f2173fd,Mark Zuckerberg,individual,public,2026-04-29,1,We have this amazing technology at our fingertips.
b6d1ce9b-6c15-431f-870f-254ef17ffc32,e7903f3f-25d9-4ca3-ae57-86bdab7ec95c,OpenAI,company,commercial,2025-04-19,1,""",""nodeType"":""text""}],""nodeType"":""paragraph""},{""data"":{},""content"":[{""data"":{},""marks"":[],""value"":""(Top)"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""data"":{},""content"":[{""data"":{},""marks"":[],""value"":""Doenjang Jjigae (Fermented Soybean Stew) â $18 House-made doenjang with local mushrooms, tofu, and seasonal vegetables served with rice."
a375b1bd-f6b9-478e-a9e9-d61b7f1526fd,20670678-3aa4-46ff-8c94-b838e2ecb14c,OpenAI,company,policy,2025-10-09,1,"An experimental GPT model for protein engineering To test our belief that AI can be used to accelerate life sciences research, we designed and trained a custom model—GPT‑4b micro—to possess a broad base of knowledge and skills across biology, with a particular focus on steerability and flexibility to enable advanced use cases such as protein engineering."
