,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.227183705276155,0.010638953833646658,21.35395160355578,3.896556573043582e-93,0.20632172687709177,0.24804568367521823
C(actor_type)[T.individual],-0.00021308511277421012,0.010958761741493113,-0.019444269142872856,0.9844882335140575,-0.02170217645636796,0.021276006230819537
C(actor_type)[T.policymaker],-14097029960.115067,50601638420.19328,-0.27858840939208507,0.7805835480372216,-113322038751.92792,85127978831.69778
C(context)[T.policy],-237381400467.10516,852086420198.2446,-0.2785884093914752,0.7805835480376898,-1908241972875.2705,1433479171941.06
C(context)[T.public],-0.03165914279341508,0.02713161601726886,-1.1668727278634827,0.2433720901921805,-0.08486166591122898,0.02154338032439882
C(positioning)[T.safety],-0.04224735091268088,0.01245596362680497,-3.3917368562128325,0.0007052168270330985,-0.06667231300811777,-0.017822388817243986
C(positioning)[T.infrastructure],0.02241436088583995,0.01625943861759584,1.3785445742009383,0.16815748156655919,-0.009468854562319565,0.05429757633399947
C(positioning)[T.regulator],14097029960.051765,50601638420.20023,0.2785884093907958,0.7805835480382113,-85127978831.77472,113322038751.87823
C(platform)[T.interview],0.05654005018228169,0.04228387913765209,1.33715381217082,0.18129302367588757,-0.026374622349569783,0.13945472271413317
C(platform)[T.press_release],0.029779819229627302,0.013362371153883631,2.2286328441769196,0.02592616278709956,0.003577478028468521,0.05598216043078608
C(platform)[T.regulatory_doc],237381400467.0935,852086420198.2341,0.278588409391465,0.7805835480376976,-1433479171941.0513,1908241972875.2383
C(platform)[T.research_paper],-0.08416310058852833,0.014370284401975955,-5.85674564498916,5.334112028106556e-09,-0.11234186397730218,-0.05598433719975447
C(platform)[T.speech],0.14484306387261284,0.05273056165974635,2.7468522866727527,0.006059777613492337,0.04144343872929765,0.24824268901592803
C(platform)[T.testimony],237381400467.01978,852086420198.222,0.2785884093913824,0.780583548037761,-1433479171941.1013,1908241972875.1409
post_chatgpt,0.039126004022788693,0.009869270053765037,3.964427339574367,7.56180748657027e-05,0.01977330244182928,0.058478705603748106
