,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.014794711988674688,0.008491427245188489,1.7423115763086634,0.08157583600362506,-0.001856170657896514,0.03144559463524589
C(actor_type)[T.individual],-0.011052067579287162,0.008746680310891783,-1.2635728283706222,0.20650017878673477,-0.028203477253821933,0.006099342095247609
C(actor_type)[T.policymaker],-21456469242.670776,40387442022.119064,-0.5312658630600986,0.5952813421035339,-100652408639.84985,57739470154.5083
C(context)[T.policy],-361307788402.6435,680088470808.4546,-0.5312658630621089,0.5952813421021412,-1694896711646.8743,972281134841.5872
C(context)[T.public],-0.05851638297934436,0.021654962231945407,-2.702215887175318,0.006934043108412375,-0.10097970798096495,-0.01605305797772378
C(positioning)[T.safety],0.049750850937731614,0.009941664430503,5.004277833507046,5.99348311734873e-07,0.030256190857155012,0.06924551101830821
C(positioning)[T.infrastructure],-0.02719483477328806,0.012977388775978836,-2.095555218598809,0.036221134050107254,-0.05264226208183557,-0.001747407464740551
C(positioning)[T.regulator],21456469242.84471,40387442022.12462,0.5312658630643321,0.595281342100601,-57739470154.34526,100652408640.03468
C(platform)[T.interview],0.055982307354169494,0.03374866447922598,1.6588006730941738,0.09728030943646546,-0.010195619570955342,0.12216023427929433
C(platform)[T.press_release],0.04333518632725789,0.010665109018291152,4.063267075182828,4.986930047945416e-05,0.022421920094295868,0.06424845256021991
C(platform)[T.regulatory_doc],361307788402.6952,680088470808.4462,0.5312658630621915,0.5952813421020839,-972281134841.5192,1694896711646.9097
C(platform)[T.research_paper],-0.030780495058601573,0.011469569884412233,-2.683666028351589,0.007329569788719757,-0.05327123267402538,-0.008289757443177764
C(platform)[T.speech],0.007499033662991909,0.04208663134861881,0.17818089551702768,0.8585952232746075,-0.0750288546813898,0.09002692200737362
C(platform)[T.testimony],361307788402.798,680088470808.4365,0.5312658630623501,0.5952813421019741,-972281134841.3973,1694896711646.9932
post_chatgpt,0.03465115316194943,0.007877108025379801,4.398968891921308,1.1328255278810922e-05,0.019204892181584422,0.05009741414231444
