,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.04561522928118333,0.0068904471564378,6.620068080569292,4.3709861649012914e-11,0.03210371659063335,0.0591267419717333
C(actor_type)[T.individual],-0.014149074340901634,0.007097574616870777,-1.9935083609081896,0.04631335261052452,-0.028066744316554183,-0.00023140436524908548
C(actor_type)[T.policymaker],30491382855.38253,32772763282.49687,0.9303879136632714,0.35225932011221306,-33772894475.60694,94755660186.37201
C(context)[T.policy],513447668401.29083,551864078263.5862,0.930387913663142,0.3522593201122802,-568705394763.9092,1595600731566.4907
C(context)[T.public],-0.042694654155074854,0.01757211934170721,-2.4296815497798048,0.015181468977509941,-0.0771519118765141,-0.0082373964336356
C(positioning)[T.safety],0.03795811605133566,0.008067255530480334,4.705208098084825,2.673042065684558e-06,0.022138993866187756,0.05377723823648356
C(positioning)[T.infrastructure],-0.04896758113033385,0.010530622121281131,-4.650017877991862,3.490209920738205e-06,-0.06961713132652664,-0.028318030934141057
C(positioning)[T.regulator],-30491382855.370552,32772763282.501373,-0.9303879136627781,0.3522593201124683,-94755660186.36887,33772894475.627754
C(platform)[T.interview],0.02382502491344863,0.027385665858024336,0.8699815822249801,0.38439326239349136,-0.02987566582244107,0.07752571564933833
C(platform)[T.press_release],-0.010384375977010881,0.008654301330771417,-1.1999092220290475,0.2302873030435622,-0.027354639242045918,0.0065858872880241535
C(platform)[T.regulatory_doc],-513447668401.2349,551864078263.5793,-0.9303879136630522,0.35225932011232663,-1595600731566.4214,568705394763.9517
C(platform)[T.research_paper],0.019384041593885844,0.009307088539255172,2.082718082258312,0.03737746312845,0.0011337245890269444,0.03763435859874474
C(platform)[T.speech],0.022546139784466686,0.03415158617350896,0.6601784078174237,0.5091996346322368,-0.044421878329517474,0.08951415789845085
C(platform)[T.testimony],-513447668401.1381,551864078263.5714,-0.9303879136628901,0.35225932011241046,-1595600731566.309,568705394764.033
post_chatgpt,0.016445051375083248,0.006391952145051538,2.5727744829589385,0.010145395179567872,0.0039110400744435635,0.028979062675722932
